Australian Bureau of Statistics,,,,,
,,,,,
"2021 Census - counting persons, place of usual residence",,,,,
"INGP Indigenous Status, LFSP Labour Force Status and SA3 (UR) by AGE5P Age in Five Year Groups",,,,,
Counting: Person Records,,,,,
,,,,,
Filters:,,,,,
Default Summation,Person Records,,,,
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20904,70253
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21001,18047
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21002,9564
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21003,23005
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21004,14185
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21005,47929
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21101,48882
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21102,7455
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21103,34926
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21104,18070
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21105,45079
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21201,35404
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21202,38921
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21203,66588
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21204,49866
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21205,51231
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21301,45386
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21302,26810
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21303,29013
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21304,55130
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21305,85181
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21401,40369
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21402,40007
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21501,15348
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21502,14449
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21503,9815
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21601,9671
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21602,7154
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21603,17281
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21701,9116
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21703,10035
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",21704,14100
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",29797,11
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",29999,898
Person Records,Over 15,Aboriginal,Not in the labour force,20101,520
Person Records,Over 15,Aboriginal,Not in the labour force,20102,85
Person Records,Over 15,Aboriginal,Not in the labour force,20103,177
Person Records,Over 15,Aboriginal,Not in the labour force,20201,547
Person Records,Over 15,Aboriginal,Not in the labour force,20202,187
Person Records,Over 15,Aboriginal,Not in the labour force,20203,77
Person Records,Over 15,Aboriginal,Not in the labour force,20301,43
Person Records,Over 15,Aboriginal,Not in the labour force,20302,824
Person Records,Over 15,Aboriginal,Not in the labour force,20303,148
Person Records,Over 15,Aboriginal,Not in the labour force,20401,247
Person Records,Over 15,Aboriginal,Not in the labour force,20402,239
Person Records,Over 15,Aboriginal,Not in the labour force,20403,442
Person Records,Over 15,Aboriginal,Not in the labour force,20501,155
Person Records,Over 15,Aboriginal,Not in the labour force,20502,474
Person Records,Over 15,Aboriginal,Not in the labour force,20503,211
Person Records,Over 15,Aboriginal,Not in the labour force,20504,389
Person Records,Over 15,Aboriginal,Not in the labour force,20505,286
Person Records,Over 15,Aboriginal,Not in the labour force,20601,118
Person Records,Over 15,Aboriginal,Not in the labour force,20602,85
Person Records,Over 15,Aboriginal,Not in the labour force,20603,69
Person Records,Over 15,Aboriginal,Not in the labour force,20604,204
Person Records,Over 15,Aboriginal,Not in the labour force,20605,114
Person Records,Over 15,Aboriginal,Not in the labour force,20606,41
Person Records,Over 15,Aboriginal,Not in the labour force,20607,118
Person Records,Over 15,Aboriginal,Not in the labour force,20701,92
Person Records,Over 15,Aboriginal,Not in the labour force,20702,35
Person Records,Over 15,Aboriginal,Not in the labour force,20703,83
Person Records,Over 15,Aboriginal,Not in the labour force,20801,68
Person Records,Over 15,Aboriginal,Not in the labour force,20802,90
Person Records,Over 15,Aboriginal,Not in the labour force,20803,129
Person Records,Over 15,Aboriginal,Not in the labour force,20804,21
Person Records,Over 15,Aboriginal,Not in the labour force,20901,217
Person Records,Over 15,Aboriginal,Not in the labour force,20902,303
Person Records,Over 15,Aboriginal,Not in the labour force,20903,71
Person Records,Over 15,Aboriginal,Not in the labour force,20904,530
Person Records,Over 15,Aboriginal,Not in the labour force,21001,53
Person Records,Over 15,Aboriginal,Not in the labour force,21002,50
Person Records,Over 15,Aboriginal,Not in the labour force,21003,119
Person Records,Over 15,Aboriginal,Not in the labour force,21004,98
Person Records,Over 15,Aboriginal,Not in the labour force,21005,346
Person Records,Over 15,Aboriginal,Not in the labour force,21101,231
Person Records,Over 15,Aboriginal,Not in the labour force,21102,20
Person Records,Over 15,Aboriginal,Not in the labour force,21103,176
Person Records,Over 15,Aboriginal,Not in the labour force,21104,67
Person Records,Over 15,Aboriginal,Not in the labour force,21105,372
Person Records,Over 15,Aboriginal,Not in the labour force,21201,207
Person Records,Over 15,Aboriginal,Not in the labour force,21202,185
Person Records,Over 15,Aboriginal,Not in the labour force,21203,320
Person Records,Over 15,Aboriginal,Not in the labour force,21204,255
Person Records,Over 15,Aboriginal,Not in the labour force,21205,124
Person Records,Over 15,Aboriginal,Not in the labour force,21301,248
Person Records,Over 15,Aboriginal,Not in the labour force,21302,130
Person Records,Over 15,Aboriginal,Not in the labour force,21303,151
Person Records,Over 15,Aboriginal,Not in the labour force,21304,776
Person Records,Over 15,Aboriginal,Not in the labour force,21305,646
Person Records,Over 15,Aboriginal,Not in the labour force,21401,401
Person Records,Over 15,Aboriginal,Not in the labour force,21402,365
Person Records,Over 15,Aboriginal,Not in the labour force,21501,335
Person Records,Over 15,Aboriginal,Not in the labour force,21502,714
Person Records,Over 15,Aboriginal,Not in the labour force,21503,414
Person Records,Over 15,Aboriginal,Not in the labour force,21601,334
Person Records,Over 15,Aboriginal,Not in the labour force,21602,174
Person Records,Over 15,Aboriginal,Not in the labour force,21603,735
Person Records,Over 15,Aboriginal,Not in the labour force,21701,248
Person Records,Over 15,Aboriginal,Not in the labour force,21703,136
Person Records,Over 15,Aboriginal,Not in the labour force,21704,206
Person Records,Over 15,Aboriginal,Not in the labour force,29797,0
Person Records,Over 15,Aboriginal,Not in the labour force,29999,122
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20101,35
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20102,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20103,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20201,41
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20202,4
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20203,6
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20301,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20302,51
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20303,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20401,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20402,13
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20403,21
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20501,6
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20502,16
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20503,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20504,25
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20505,19
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20601,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20602,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20603,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20604,31
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20605,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20606,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20607,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20701,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20702,4
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20703,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20801,6
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20802,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20803,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20804,4
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20901,23
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20902,11
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20903,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",20904,38
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21001,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21002,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21003,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21004,6
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21005,15
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21101,14
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21102,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21103,13
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21104,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21105,14
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21201,13
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21202,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21203,20
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21204,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21205,15
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21301,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21302,8
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21303,11
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21304,30
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21305,36
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21401,41
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21402,20
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21501,20
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21502,35
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21503,18
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21601,25
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21602,8
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21603,38
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21701,21
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21703,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",21704,19
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",29797,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for part-time work",29999,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20101,45
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20102,4
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20103,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20201,43
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20202,9
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20203,6
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20301,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20302,66
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20303,9
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20401,27
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20402,13
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20403,38
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20501,14
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20502,38
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20503,14
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20504,69
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20505,24
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20601,16
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20602,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20603,11
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20604,22
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20605,9
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20606,4
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20607,7
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20701,9
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20702,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20703,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20801,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20802,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20803,11
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20804,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20901,14
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20902,27
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20903,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",20904,49
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21001,7
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21002,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21003,8
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21004,8
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21005,34
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21101,19
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21102,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21103,10
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21104,3
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21105,25
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21201,22
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21202,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21203,34
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21204,19
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21205,16
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21301,23
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21302,13
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21303,11
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21304,58
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21305,70
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21401,35
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21402,28
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21501,21
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21502,78
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21503,38
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21601,21
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21602,12
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21603,53
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21701,19
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21703,5
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",21704,13
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",29797,0
Person Records,Over 15,Aboriginal,"Unemployed, looking for full-time work",29999,16
Person Records,Over 15,Aboriginal,"Employed, away from work",20101,72
Person Records,Over 15,Aboriginal,"Employed, away from work",20102,9
Person Records,Over 15,Aboriginal,"Employed, away from work",20103,17
Person Records,Over 15,Aboriginal,"Employed, away from work",20201,58
Person Records,Over 15,Aboriginal,"Employed, away from work",20202,18
Person Records,Over 15,Aboriginal,"Employed, away from work",20203,9
Person Records,Over 15,Aboriginal,"Employed, away from work",20301,16
Person Records,Over 15,Aboriginal,"Employed, away from work",20302,80
Person Records,Over 15,Aboriginal,"Employed, away from work",20303,29
Person Records,Over 15,Aboriginal,"Employed, away from work",20401,44
Person Records,Over 15,Aboriginal,"Employed, away from work",20402,31
Person Records,Over 15,Aboriginal,"Employed, away from work",20403,53
Person Records,Over 15,Aboriginal,"Employed, away from work",20501,21
Person Records,Over 15,Aboriginal,"Employed, away from work",20502,50
Person Records,Over 15,Aboriginal,"Employed, away from work",20503,33
Person Records,Over 15,Aboriginal,"Employed, away from work",20504,33
Person Records,Over 15,Aboriginal,"Employed, away from work",20505,23
Person Records,Over 15,Aboriginal,"Employed, away from work",20601,28
Person Records,Over 15,Aboriginal,"Employed, away from work",20602,14
Person Records,Over 15,Aboriginal,"Employed, away from work",20603,20
Person Records,Over 15,Aboriginal,"Employed, away from work",20604,35
Person Records,Over 15,Aboriginal,"Employed, away from work",20605,23
Person Records,Over 15,Aboriginal,"Employed, away from work",20606,20
Person Records,Over 15,Aboriginal,"Employed, away from work",20607,21
Person Records,Over 15,Aboriginal,"Employed, away from work",20701,20
Person Records,Over 15,Aboriginal,"Employed, away from work",20702,0
Person Records,Over 15,Aboriginal,"Employed, away from work",20703,6
Person Records,Over 15,Aboriginal,"Employed, away from work",20801,7
Person Records,Over 15,Aboriginal,"Employed, away from work",20802,16
Person Records,Over 15,Aboriginal,"Employed, away from work",20803,18
Person Records,Over 15,Aboriginal,"Employed, away from work",20804,3
Person Records,Over 15,Aboriginal,"Employed, away from work",20901,34
Person Records,Over 15,Aboriginal,"Employed, away from work",20902,36
Person Records,Over 15,Aboriginal,"Employed, away from work",20903,18
Person Records,Over 15,Aboriginal,"Employed, away from work",20904,78
Person Records,Over 15,Aboriginal,"Employed, away from work",21001,0
Person Records,Over 15,Aboriginal,"Employed, away from work",21002,16
Person Records,Over 15,Aboriginal,"Employed, away from work",21003,16
Person Records,Over 15,Aboriginal,"Employed, away from work",21004,18
Person Records,Over 15,Aboriginal,"Employed, away from work",21005,41
Person Records,Over 15,Aboriginal,"Employed, away from work",21101,42
Person Records,Over 15,Aboriginal,"Employed, away from work",21102,0
Person Records,Over 15,Aboriginal,"Employed, away from work",21103,21
Person Records,Over 15,Aboriginal,"Employed, away from work",21104,5
Person Records,Over 15,Aboriginal,"Employed, away from work",21105,60
Person Records,Over 15,Aboriginal,"Employed, away from work",21201,37
Person Records,Over 15,Aboriginal,"Employed, away from work",21202,23
Person Records,Over 15,Aboriginal,"Employed, away from work",21203,48
Person Records,Over 15,Aboriginal,"Employed, away from work",21204,16
Person Records,Over 15,Aboriginal,"Employed, away from work",21205,21
Person Records,Over 15,Aboriginal,"Employed, away from work",21301,19
Person Records,Over 15,Aboriginal,"Employed, away from work",21302,22
Person Records,Over 15,Aboriginal,"Employed, away from work",21303,32
Person Records,Over 15,Aboriginal,"Employed, away from work",21304,75
Person Records,Over 15,Aboriginal,"Employed, away from work",21305,88
Person Records,Over 15,Aboriginal,"Employed, away from work",21401,52
Person Records,Over 15,Aboriginal,"Employed, away from work",21402,71
Person Records,Over 15,Aboriginal,"Employed, away from work",21501,12
Person Records,Over 15,Aboriginal,"Employed, away from work",21502,72
Person Records,Over 15,Aboriginal,"Employed, away from work",21503,35
Person Records,Over 15,Aboriginal,"Employed, away from work",21601,51
Person Records,Over 15,Aboriginal,"Employed, away from work",21602,26
Person Records,Over 15,Aboriginal,"Employed, away from work",21603,63
Person Records,Over 15,Aboriginal,"Employed, away from work",21701,23
Person Records,Over 15,Aboriginal,"Employed, away from work",21703,16
Person Records,Over 15,Aboriginal,"Employed, away from work",21704,28
Person Records,Over 15,Aboriginal,"Employed, away from work",29797,0
Person Records,Over 15,Aboriginal,"Employed, away from work",29999,6
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20101,204
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20102,41
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20103,48
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20201,270
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20202,80
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20203,33
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20301,26
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20302,357
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20303,99
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20401,114
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20402,114
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20403,202
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20501,83
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20502,188
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20503,109
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20504,152
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20505,82
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20601,113
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20602,61
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20603,52
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20604,115
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20605,73
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20606,36
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20607,78
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20701,62
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20702,29
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20703,52
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20801,34
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20802,63
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20803,88
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20804,15
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20901,102
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20902,121
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20903,59
Person Records,Over 15,Aboriginal,"Employed, worked part-time",20904,289
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21001,20
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21002,44
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21003,56
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21004,67
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21005,107
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21101,162
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21102,9
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21103,98
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21104,18
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21105,239
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21201,133
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21202,80
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21203,181
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21204,56
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21205,91
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21301,85
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21302,77
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21303,89
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21304,202
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21305,258
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21401,225
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21402,225
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21501,113
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21502,217
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21503,119
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21601,114
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21602,74
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21603,269
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21701,115
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21703,80
Person Records,Over 15,Aboriginal,"Employed, worked part-time",21704,135
Person Records,Over 15,Aboriginal,"Employed, worked part-time",29797,0
Person Records,Over 15,Aboriginal,"Employed, worked part-time",29999,12
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20101,375
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20102,77
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20103,59
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20201,450
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20202,121
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20203,44
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20301,50
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20302,558
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20303,170
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20401,224
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20402,153
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20403,348
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20501,161
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20502,257
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20503,126
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20504,227
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20505,140
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20601,197
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20602,99
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20603,100
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20604,251
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20605,185
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20606,104
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20607,169
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20701,147
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20702,50
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20703,67
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20801,68
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20802,136
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20803,165
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20804,42
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20901,204
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20902,251
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20903,108
Person Records,Over 15,Aboriginal,"Employed, worked full-time",20904,566
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21001,67
